method,answered,coverage,selective_accuracy,risk,wrong_answered
Confidence + question-aware semantic V2,1968,0.656,0.5396341463414634,0.4603658536585366,906
Confidence + question-aware semantic V2,1969,0.6563333333333333,0.5393600812595226,0.4606399187404774,907
Confidence + question-aware semantic V2,1970,0.6566666666666666,0.5390862944162437,0.46091370558375633,908
Confidence + question-aware semantic V2,1971,0.657,0.5388127853881278,0.4611872146118721,909
Confidence + question-aware semantic V2,1972,0.6573333333333333,0.5390466531440162,0.46095334685598377,909
Confidence + question-aware semantic V2,1973,0.6576666666666666,0.5387734414597061,0.461226558540294,910
Confidence + question-aware semantic V2,1974,0.658,0.5390070921985816,0.46099290780141844,910
Confidence + question-aware semantic V2,1975,0.6583333333333333,0.5387341772151899,0.46126582278481015,911
Confidence + question-aware semantic V2,1976,0.6586666666666666,0.5384615384615384,0.46153846153846156,912
Confidence + question-aware semantic V2,1977,0.659,0.5381891755184623,0.4618108244815377,913
Confidence + question-aware semantic V2,1978,0.6593333333333333,0.537917087967644,0.4620829120323559,914
Confidence + question-aware semantic V2,1979,0.6596666666666666,0.5376452753916119,0.46235472460838806,915
Confidence + question-aware semantic V2,1980,0.66,0.5378787878787878,0.4621212121212121,915
Confidence + question-aware semantic V2,1981,0.6603333333333333,0.5381120646138314,0.4618879353861686,915
Confidence + question-aware semantic V2,1982,0.6606666666666666,0.5378405650857719,0.46215943491422806,916
Confidence + question-aware semantic V2,1983,0.661,0.5375693393847706,0.46243066061522947,917
Confidence + question-aware semantic V2,1984,0.6613333333333333,0.5372983870967742,0.4627016129032258,918
Confidence + question-aware semantic V2,1985,0.6616666666666666,0.5370277078085642,0.46297229219143576,919
Confidence + question-aware semantic V2,1986,0.662,0.5367573011077543,0.46324269889224573,920
Confidence + question-aware semantic V2,1987,0.6623333333333333,0.5364871665827882,0.4635128334172119,921
Confidence + question-aware semantic V2,1988,0.6626666666666666,0.5362173038229376,0.46378269617706236,922
Confidence + question-aware semantic V2,1989,0.663,0.5359477124183006,0.46405228758169936,923
Confidence + question-aware semantic V2,1990,0.6633333333333333,0.535678391959799,0.464321608040201,924
Confidence + question-aware semantic V2,1991,0.6636666666666666,0.5354093420391763,0.4645906579608237,925
Confidence + question-aware semantic V2,1992,0.664,0.5356425702811245,0.4643574297188755,925
Confidence + question-aware semantic V2,1993,0.6643333333333333,0.535373808329152,0.46462619167084795,926
Confidence + question-aware semantic V2,1994,0.6646666666666666,0.5351053159478435,0.46489468405215645,927
Confidence + question-aware semantic V2,1995,0.665,0.5348370927318296,0.46516290726817044,928
Confidence + question-aware semantic V2,1996,0.6653333333333333,0.5350701402805611,0.4649298597194389,928
Confidence + question-aware semantic V2,1997,0.6656666666666666,0.5348022033049574,0.4651977966950426,929
Confidence + question-aware semantic V2,1998,0.666,0.535035035035035,0.464964964964965,929
Confidence + question-aware semantic V2,1999,0.6663333333333333,0.534767383691846,0.4652326163081541,930
Confidence + question-aware semantic V2,2000,0.6666666666666666,0.5345,0.4655,931
Confidence + question-aware semantic V2,2001,0.667,0.5342328835582209,0.4657671164417791,932
Confidence + question-aware semantic V2,2002,0.6673333333333333,0.5339660339660339,0.466033966033966,933
Confidence + question-aware semantic V2,2003,0.6676666666666666,0.5336994508237644,0.46630054917623565,934
Confidence + question-aware semantic V2,2004,0.668,0.533433133732535,0.4665668662674651,935
Confidence + question-aware semantic V2,2005,0.6683333333333333,0.5331670822942643,0.46683291770573565,936
Confidence + question-aware semantic V2,2006,0.6686666666666666,0.532901296111665,0.467098703888335,937
Confidence + question-aware semantic V2,2007,0.669,0.5326357747882412,0.46736422521175885,938
Confidence + question-aware semantic V2,2008,0.6693333333333333,0.5328685258964143,0.46713147410358563,938
Confidence + question-aware semantic V2,2009,0.6696666666666666,0.5326032852165257,0.4673967147834744,939
Confidence + question-aware semantic V2,2010,0.67,0.5328358208955224,0.4671641791044776,939
Confidence + question-aware semantic V2,2011,0.6703333333333333,0.5325708602685231,0.4674291397314769,940
Confidence + question-aware semantic V2,2012,0.6706666666666666,0.5323061630218688,0.4676938369781312,941
Confidence + question-aware semantic V2,2013,0.671,0.5320417287630402,0.46795827123695977,942
Confidence + question-aware semantic V2,2014,0.6713333333333333,0.5322740814299901,0.46772591857000995,942
Confidence + question-aware semantic V2,2015,0.6716666666666666,0.5320099255583126,0.46799007444168733,943
Confidence + question-aware semantic V2,2016,0.672,0.5322420634920635,0.4677579365079365,943
Confidence + question-aware semantic V2,2017,0.6723333333333333,0.5324739712444224,0.4675260287555776,943
Confidence + question-aware semantic V2,2018,0.6726666666666666,0.5322101090188305,0.46778989098116946,944
Confidence + question-aware semantic V2,2019,0.673,0.5324418028727093,0.46755819712729074,944
Confidence + question-aware semantic V2,2020,0.6733333333333333,0.5326732673267327,0.46732673267326735,944
Confidence + question-aware semantic V2,2021,0.6736666666666666,0.5324096981692231,0.4675903018307768,945
Confidence + question-aware semantic V2,2022,0.674,0.5321463897131553,0.4678536102868447,946
Confidence + question-aware semantic V2,2023,0.6743333333333333,0.532377656945131,0.467622343054869,946
Confidence + question-aware semantic V2,2024,0.6746666666666666,0.5321146245059288,0.46788537549407117,947
Confidence + question-aware semantic V2,2025,0.675,0.5318518518518518,0.46814814814814815,948
Confidence + question-aware semantic V2,2026,0.6753333333333333,0.5315893385982231,0.4684106614017769,949
Confidence + question-aware semantic V2,2027,0.6756666666666666,0.5313270843611249,0.4686729156388752,950
Confidence + question-aware semantic V2,2028,0.676,0.5310650887573964,0.46893491124260356,951
Confidence + question-aware semantic V2,2029,0.6763333333333333,0.531296205027107,0.46870379497289305,951
Confidence + question-aware semantic V2,2030,0.6766666666666666,0.5310344827586206,0.4689655172413793,952
Confidence + question-aware semantic V2,2031,0.677,0.5307730182176268,0.4692269817823732,953
Confidence + question-aware semantic V2,2032,0.6773333333333333,0.530511811023622,0.46948818897637795,954
Confidence + question-aware semantic V2,2033,0.6776666666666666,0.5302508607968519,0.46974913920314804,955
Confidence + question-aware semantic V2,2034,0.678,0.5299901671583087,0.47000983284169123,956
Confidence + question-aware semantic V2,2035,0.6783333333333333,0.5302211302211303,0.4697788697788698,956
Confidence + question-aware semantic V2,2036,0.6786666666666666,0.5304518664047151,0.46954813359528486,956
Confidence + question-aware semantic V2,2037,0.679,0.5301914580265096,0.4698085419734904,957
Confidence + question-aware semantic V2,2038,0.6793333333333333,0.5299313052011776,0.47006869479882235,958
