sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
1000,17,Confidence + question-aware semantic V2,0.8,800,1000,0.8,0.49125,0.50875,407,393,200,44,156
1000,17,Confidence + question-aware semantic V2,0.9,900,1000,0.9,0.4411111111111111,0.5588888888888889,503,397,100,40,60
1000,17,Confidence + question-aware semantic V2,1.0,1000,1000,1.0,0.437,0.563,563,437,0,0,0
1000,17,Self-verifier only,0.1,100,1000,0.1,0.68,0.32,32,68,900,369,531
1000,17,Self-verifier only,0.2,200,1000,0.2,0.65,0.35,70,130,800,307,493
1000,17,Self-verifier only,0.3,300,1000,0.3,0.6,0.4,120,180,700,257,443
1000,17,Self-verifier only,0.4,400,1000,0.4,0.605,0.395,158,242,600,195,405
1000,17,Self-verifier only,0.5,500,1000,0.5,0.578,0.422,211,289,500,148,352
1000,17,Self-verifier only,0.6,600,1000,0.6,0.5583333333333333,0.44166666666666665,265,335,400,102,298
1000,17,Self-verifier only,0.7,700,1000,0.7,0.5257142857142857,0.4742857142857143,332,368,300,69,231
1000,17,Self-verifier only,0.8,800,1000,0.8,0.5075,0.4925,394,406,200,31,169
1000,17,Self-verifier only,0.9,900,1000,0.9,0.4811111111111111,0.5188888888888888,467,433,100,4,96
1000,17,Self-verifier only,1.0,1000,1000,1.0,0.437,0.563,563,437,0,0,0
1000,17,Confidence + self-verifier,0.1,100,1000,0.1,0.91,0.09,9,91,900,346,554
1000,17,Confidence + self-verifier,0.2,200,1000,0.2,0.865,0.135,27,173,800,264,536
1000,17,Confidence + self-verifier,0.3,300,1000,0.3,0.8266666666666667,0.17333333333333334,52,248,700,189,511
1000,17,Confidence + self-verifier,0.4,400,1000,0.4,0.8075,0.1925,77,323,600,114,486
1000,17,Confidence + self-verifier,0.5,500,1000,0.5,0.756,0.244,122,378,500,59,441
1000,17,Confidence + self-verifier,0.6,600,1000,0.6,0.68,0.32,192,408,400,29,371
1000,17,Confidence + self-verifier,0.7,700,1000,0.7,0.6114285714285714,0.38857142857142857,272,428,300,9,291
1000,17,Confidence + self-verifier,0.8,800,1000,0.8,0.54375,0.45625,365,435,200,2,198
1000,17,Confidence + self-verifier,0.9,900,1000,0.9,0.4855555555555556,0.5144444444444445,463,437,100,0,100
1000,17,Confidence + self-verifier,1.0,1000,1000,1.0,0.437,0.563,563,437,0,0,0
2000,17,Confidence only,0.1,200,2000,0.1,0.91,0.09,18,182,1800,675,1125
2000,17,Confidence only,0.2,400,2000,0.2,0.8725,0.1275,51,349,1600,508,1092
2000,17,Confidence only,0.3,600,2000,0.3,0.8533333333333334,0.14666666666666667,88,512,1400,345,1055
2000,17,Confidence only,0.4,800,2000,0.4,0.80875,0.19125,153,647,1200,210,990
2000,17,Confidence only,0.5,1000,2000,0.5,0.749,0.251,251,749,1000,108,892
2000,17,Confidence only,0.6,1200,2000,0.6,0.6791666666666667,0.32083333333333336,385,815,800,42,758
2000,17,Confidence only,0.7,1400,2000,0.7,0.6,0.4,560,840,600,17,583
2000,17,Confidence only,0.8,1600,2000,0.8,0.53375,0.46625,746,854,400,3,397
2000,17,Confidence only,0.9,1800,2000,0.9,0.475,0.525,945,855,200,2,198
2000,17,Confidence only,1.0,2000,2000,1.0,0.4285,0.5715,1143,857,0,0,0
2000,17,Question-aware semantic V2,0.1,200,2000,0.1,0.785,0.215,43,157,1800,700,1100
2000,17,Question-aware semantic V2,0.2,400,2000,0.2,0.7625,0.2375,95,305,1600,552,1048
2000,17,Question-aware semantic V2,0.3,600,2000,0.3,0.7233333333333334,0.27666666666666667,166,434,1400,423,977
2000,17,Question-aware semantic V2,0.4,800,2000,0.4,0.6675,0.3325,266,534,1200,323,877
2000,17,Question-aware semantic V2,0.5,1000,2000,0.5,0.606,0.394,394,606,1000,251,749
2000,17,Question-aware semantic V2,0.6,1200,2000,0.6,0.5483333333333333,0.45166666666666666,542,658,800,199,601
2000,17,Question-aware semantic V2,0.7,1400,2000,0.7,0.5035714285714286,0.49642857142857144,695,705,600,152,448
2000,17,Question-aware semantic V2,0.8,1600,2000,0.8,0.464375,0.535625,857,743,400,114,286
2000,17,Question-aware semantic V2,0.9,1800,2000,0.9,0.4288888888888889,0.5711111111111111,1028,772,200,85,115
2000,17,Question-aware semantic V2,1.0,2000,2000,1.0,0.4285,0.5715,1143,857,0,0,0
2000,17,Confidence + question-aware semantic V2,0.1,200,2000,0.1,0.9,0.1,20,180,1800,677,1123
2000,17,Confidence + question-aware semantic V2,0.2,400,2000,0.2,0.87,0.13,52,348,1600,509,1091
2000,17,Confidence + question-aware semantic V2,0.3,600,2000,0.3,0.815,0.185,111,489,1400,368,1032
2000,17,Confidence + question-aware semantic V2,0.4,800,2000,0.4,0.7575,0.2425,194,606,1200,251,949
2000,17,Confidence + question-aware semantic V2,0.5,1000,2000,0.5,0.657,0.343,343,657,1000,200,800
2000,17,Confidence + question-aware semantic V2,0.6,1200,2000,0.6,0.5783333333333334,0.4216666666666667,506,694,800,163,637
2000,17,Confidence + question-aware semantic V2,0.7,1400,2000,0.7,0.5242857142857142,0.4757142857142857,666,734,600,123,477
2000,17,Confidence + question-aware semantic V2,0.8,1600,2000,0.8,0.474375,0.525625,841,759,400,98,302
2000,17,Confidence + question-aware semantic V2,0.9,1800,2000,0.9,0.4288888888888889,0.5711111111111111,1028,772,200,85,115
2000,17,Confidence + question-aware semantic V2,1.0,2000,2000,1.0,0.4285,0.5715,1143,857,0,0,0
2000,17,Self-verifier only,0.1,200,2000,0.1,0.645,0.355,71,129,1800,728,1072
2000,17,Self-verifier only,0.2,400,2000,0.2,0.6425,0.3575,143,257,1600,600,1000
2000,17,Self-verifier only,0.3,600,2000,0.3,0.6166666666666667,0.38333333333333336,230,370,1400,487,913
2000,17,Self-verifier only,0.4,800,2000,0.4,0.60125,0.39875,319,481,1200,376,824
2000,17,Self-verifier only,0.5,1000,2000,0.5,0.58,0.42,420,580,1000,277,723
2000,17,Self-verifier only,0.6,1200,2000,0.6,0.5516666666666666,0.4483333333333333,538,662,800,195,605
2000,17,Self-verifier only,0.7,1400,2000,0.7,0.52,0.48,672,728,600,129,471
2000,17,Self-verifier only,0.8,1600,2000,0.8,0.499375,0.500625,801,799,400,58,342
2000,17,Self-verifier only,0.9,1800,2000,0.9,0.4716666666666667,0.5283333333333333,951,849,200,8,192
2000,17,Self-verifier only,1.0,2000,2000,1.0,0.4285,0.5715,1143,857,0,0,0
2000,17,Confidence + self-verifier,0.1,200,2000,0.1,0.87,0.13,26,174,1800,683,1117
2000,17,Confidence + self-verifier,0.2,400,2000,0.2,0.84,0.16,64,336,1600,521,1079
2000,17,Confidence + self-verifier,0.3,600,2000,0.3,0.795,0.205,123,477,1400,380,1020
2000,17,Confidence + self-verifier,0.4,800,2000,0.4,0.7775,0.2225,178,622,1200,235,965
2000,17,Confidence + self-verifier,0.5,1000,2000,0.5,0.737,0.263,263,737,1000,120,880
2000,17,Confidence + self-verifier,0.6,1200,2000,0.6,0.6683333333333333,0.33166666666666667,398,802,800,55,745
2000,17,Confidence + self-verifier,0.7,1400,2000,0.7,0.6,0.4,560,840,600,17,583
2000,17,Confidence + self-verifier,0.8,1600,2000,0.8,0.53125,0.46875,750,850,400,7,393
2000,17,Confidence + self-verifier,0.9,1800,2000,0.9,0.475,0.525,945,855,200,2,198
2000,17,Confidence + self-verifier,1.0,2000,2000,1.0,0.4285,0.5715,1143,857,0,0,0
