sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
2000,17,Old semantic verifier only,0.1,200,2000,0.1,0.685,0.315,63,137,1800,719,1081
2000,17,Old semantic verifier only,0.2,400,2000,0.2,0.685,0.315,126,274,1600,582,1018
2000,17,Old semantic verifier only,0.3,600,2000,0.3,0.675,0.325,195,405,1400,451,949
2000,17,Old semantic verifier only,0.4,800,2000,0.4,0.64125,0.35875,287,513,1200,343,857
2000,17,Old semantic verifier only,0.5,1000,2000,0.5,0.619,0.381,381,619,1000,237,763
2000,17,Old semantic verifier only,0.6,1200,2000,0.6,0.5758333333333333,0.4241666666666667,509,691,800,165,635
2000,17,Old semantic verifier only,0.7,1400,2000,0.7,0.5385714285714286,0.4614285714285714,646,754,600,102,498
2000,17,Old semantic verifier only,0.8,1600,2000,0.8,0.495,0.505,808,792,400,64,336
2000,17,Old semantic verifier only,0.9,1800,2000,0.9,0.46555555555555556,0.5344444444444445,962,838,200,18,182
2000,17,Old semantic verifier only,1.0,2000,2000,1.0,0.428,0.572,1144,856,0,0,0
2000,17,Question-aware semantic V2,0.1,200,2000,0.1,0.78,0.22,44,156,1800,700,1100
2000,17,Question-aware semantic V2,0.2,400,2000,0.2,0.74,0.26,104,296,1600,560,1040
2000,17,Question-aware semantic V2,0.3,600,2000,0.3,0.735,0.265,159,441,1400,415,985
2000,17,Question-aware semantic V2,0.4,800,2000,0.4,0.67875,0.32125,257,543,1200,313,887
2000,17,Question-aware semantic V2,0.5,1000,2000,0.5,0.613,0.387,387,613,1000,243,757
2000,17,Question-aware semantic V2,0.6,1200,2000,0.6,0.5533333333333333,0.44666666666666666,536,664,800,192,608
2000,17,Question-aware semantic V2,0.7,1400,2000,0.7,0.5014285714285714,0.49857142857142855,698,702,600,154,446
2000,17,Question-aware semantic V2,0.8,1600,2000,0.8,0.46125,0.53875,862,738,400,118,282
2000,17,Question-aware semantic V2,0.9,1800,2000,0.9,0.42444444444444446,0.5755555555555556,1036,764,200,92,108
2000,17,Question-aware semantic V2,1.0,2000,2000,1.0,0.428,0.572,1144,856,0,0,0
2000,17,Confidence + question-aware semantic V2,0.1,200,2000,0.1,0.89,0.11,22,178,1800,678,1122
2000,17,Confidence + question-aware semantic V2,0.2,400,2000,0.2,0.8675,0.1325,53,347,1600,509,1091
2000,17,Confidence + question-aware semantic V2,0.3,600,2000,0.3,0.82,0.18,108,492,1400,364,1036
2000,17,Confidence + question-aware semantic V2,0.4,800,2000,0.4,0.75,0.25,200,600,1200,256,944
2000,17,Confidence + question-aware semantic V2,0.5,1000,2000,0.5,0.661,0.339,339,661,1000,195,805
2000,17,Confidence + question-aware semantic V2,0.6,1200,2000,0.6,0.5758333333333333,0.4241666666666667,509,691,800,165,635
2000,17,Confidence + question-aware semantic V2,0.7,1400,2000,0.7,0.5192857142857142,0.4807142857142857,673,727,600,129,471
2000,17,Confidence + question-aware semantic V2,0.8,1600,2000,0.8,0.46625,0.53375,854,746,400,110,290
2000,17,Confidence + question-aware semantic V2,0.9,1800,2000,0.9,0.42444444444444446,0.5755555555555556,1036,764,200,92,108
2000,17,Confidence + question-aware semantic V2,1.0,2000,2000,1.0,0.428,0.572,1144,856,0,0,0
5000,17,Confidence only,0.1,500,5000,0.1,0.904,0.096,48,452,4500,1662,2838
5000,17,Confidence only,0.2,1000,5000,0.2,0.865,0.135,135,865,4000,1249,2751
5000,17,Confidence only,0.3,1500,5000,0.3,0.8453333333333334,0.15466666666666667,232,1268,3500,846,2654
5000,17,Confidence only,0.4,2000,5000,0.4,0.8045,0.1955,391,1609,3000,505,2495
5000,17,Confidence only,0.5,2500,5000,0.5,0.7436,0.2564,641,1859,2500,255,2245
5000,17,Confidence only,0.6,3000,5000,0.6,0.673,0.327,981,2019,2000,95,1905
5000,17,Confidence only,0.7,3500,5000,0.7,0.5931428571428572,0.40685714285714286,1424,2076,1500,38,1462
5000,17,Confidence only,0.8,4000,5000,0.8,0.525,0.475,1900,2100,1000,14,986
5000,17,Confidence only,0.9,4500,5000,0.9,0.4673333333333333,0.5326666666666666,2397,2103,500,11,489
5000,17,Confidence only,1.0,5000,5000,1.0,0.4228,0.5772,2886,2114,0,0,0
5000,17,Old semantic verifier only,0.1,500,5000,0.1,0.734,0.266,133,367,4500,1747,2753
5000,17,Old semantic verifier only,0.2,1000,5000,0.2,0.707,0.293,293,707,4000,1407,2593
5000,17,Old semantic verifier only,0.3,1500,5000,0.3,0.6846666666666666,0.31533333333333335,473,1027,3500,1087,2413
5000,17,Old semantic verifier only,0.4,2000,5000,0.4,0.6465,0.3535,707,1293,3000,821,2179
5000,17,Old semantic verifier only,0.5,2500,5000,0.5,0.6144,0.3856,964,1536,2500,578,1922
5000,17,Old semantic verifier only,0.6,3000,5000,0.6,0.576,0.424,1272,1728,2000,386,1614
5000,17,Old semantic verifier only,0.7,3500,5000,0.7,0.5365714285714286,0.4634285714285714,1622,1878,1500,236,1264
5000,17,Old semantic verifier only,0.8,4000,5000,0.8,0.49575,0.50425,2017,1983,1000,131,869
5000,17,Old semantic verifier only,0.9,4500,5000,0.9,0.46244444444444444,0.5375555555555556,2419,2081,500,33,467
5000,17,Old semantic verifier only,1.0,5000,5000,1.0,0.4228,0.5772,2886,2114,0,0,0
5000,17,Question-aware semantic V2,0.1,500,5000,0.1,0.794,0.206,103,397,4500,1717,2783
